Word,Times_s,Intensity_dB
great,2.46829,62.842182
great,2.473807,62.440085
great,2.479324,61.993008
great,2.484842,61.39907
great,2.490359,60.651927
great,2.495876,59.876106
great,2.501393,59.186562
great,2.506911,58.708539
great,2.512428,58.404109
great,2.517945,57.901134
great,2.523462,57.174439
great,2.52898,56.726273
great,2.534497,56.848027
great,2.540014,57.337283
great,2.545531,57.042813
great,2.551049,55.678785
great,2.556566,56.059858
great,2.562083,55.435301
great,2.5676,53.882303
great,2.573118,53.603601
great,2.578635,52.076096
great,2.584152,52.296091
great,2.589669,52.179286
great,2.595186,49.237948
great,2.600704,47.615213
great,2.606221,46.737278
great,2.611738,43.541969
great,2.617255,38.707386
great,2.622773,32.434704
great,2.62829,24.303443
great,2.633807,14.900641
great,2.639324,7.667236
great,2.644842,5.847796
great,2.650359,17.680352
great,2.655876,34.949493
great,2.661393,44.845113
great,2.666911,50.652696
great,2.672428,55.224168
great,2.677945,58.882389
great,2.683462,60.596198
great,2.68898,60.415146
great,2.694497,59.45246
great,2.700014,58.808032
great,2.705531,57.109765
great,2.711049,53.859494
,,
,,
